040404, 0, 0  
c38b16, 80, 1  
c38b16, 80, 2  
c38b16, 80, 3  
c38b16, 80, 4  
c38b16, 80, 5  
c28a16, 80, 6  
c28a16, 80, 7  
c28a16, 80, 8  
c28a16, 80, 9  
c28a16, 80, 10  
c28a16, 80, 11  
c28a16, 80, 12  
c38b16, 80, 13  
c38b16, 80, 14  
c28a16, 80, 15  
c08716, 80, 16  
be8514, 80, 17  
be8413, 80, 18  
c18817, 80, 19  
c08718, 80, 20  
10222a, 0, 21  
c88e1c, 80, 22  
c98e1a, 80, 23  
cb8f1a, 80, 24  
cc911c, 80, 25  
cb901b, 80, 26  
cb901b, 80, 27  
cb8f1a, 80, 28  
2a848e, 0, 29  
2a848e, 0, 30  
2b848f, 0, 31  
bf8211, 80, 32  
c08312, 80, 33  
c28413, 80, 34  
2b848e, 0, 35  
bf8212, 80, 36  
c18413, 80, 37  
2b848f, 0, 38  
d09824, 80, 39  
d09622, 80, 40  
d09722, 80, 41  
2c848f, 0, 42  
c18412, 80, 43  
c18412, 80, 44  
227882, 0, 45  
227882, 0, 46  
0c6f81, 0, 47  
34888f, 0, 48  
34878f, 0, 49  
146a77, 0, 50  
cc911c, 80, 51  
c98e1a, 80, 52  
bf8212, 80, 53  
c18313, 80, 54  
33868e, 0, 55  
2e3837, 0, 56  
336b6c, 0, 57  
154f55, 0, 58  
99a296, 80, 59  
1d292c, 0, 60  
76827b, 0, 61  
77837c, 0, 62  
78827c, 0, 63  
29464b, 0, 64  
2c4349, 0, 65  
2c8891, 0, 66  
2c8691, 0, 67  
2e8791, 0, 68  
c6c8bb, 80, 69  
c1b8af, 80, 70  
2c8892, 0, 71  
2e8993, 0, 72  
2e8892, 0, 73  
c9d1c2, 80, 74  
964843, 0, 75  
7c222f, 0, 76  
c29f26, 80, 77  
842e3d, 0, 78  
7f8781, 80, 79  
214347, 0, 80  
234348, 0, 81  
85313b, 0, 82  
c9a526, 80, 83  
214249, 0, 84  
25434b, 0, 85  
b7b8a4, 80, 86  
b7b5a0, 80, 87  
8c2f3f, 0, 88  
3b3c49, 0, 89  
3c3e4b, 0, 90  
413f4b, 0, 91  
74575d, 0, 92  
74575d, 0, 93  
74565c, 0, 94  
1c3740, 0, 95  
1f3942, 0, 96  
1f3a43, 0, 97  
1a353e, 0, 98  
3c3b47, 0, 99  
1b3842, 0, 100  
1c3842, 0, 101  
3c3b48, 0, 102  
aa9d7e, 80, 103  
aa9d7e, 80, 104  
aa9d7e, 80, 105  
ab9d7e, 80, 106  
9a8c70, 80, 107  
a69778, 80, 108  
a89978, 80, 109  
ab946b, 80, 110  
a69676, 80, 111  
9a8c6f, 80, 112  
3a3b4a, 0, 113  
353c4b, 0, 114  
3c3c4a, 0, 115  
3a3b4a, 0, 116  
a09e93, 80, 117  
d1d4c7, 80, 118  
1a4147, 0, 119  
bc8016, 80, 120  
b97c15, 80, 121  
bc8018, 80, 122  
aa9c7e, 80, 123  
7a4433, 0, 124  
bd8117, 80, 125  
804533, 0, 126  
bd8016, 80, 127  
bc8016, 80, 128  
b7963c, 80, 129  
bb7f16, 80, 130  
b79533, 80, 131  
13272a, 0, 132  
162c2e, 0, 133  
10292b, 0, 134  
142b31, 0, 135  
ba7d15, 80, 136  
b7992b, 80, 137  
bc8017, 80, 138  
1c4549, 0, 139  
7b857d, 80, 140  
1e373a, 0, 141  
1e3a3f, 0, 142  
c28519, 80, 143  
c38519, 80, 144  
bda132, 80, 145  
ba8320, 80, 146  
8d9285, 80, 147  
15292d, 0, 148  
192b2f, 0, 149  
83493c, 0, 150  
bd8117, 80, 151  
b6bcae, 80, 152  
18343f, 0, 153  
8a4534, 0, 154  
c08312, 80, 155  
ca8e18, 80, 156  
ba9a32, 80, 157  
cc911a, 80, 158  
913343, 0, 159  
c28511, 80, 160  
97404e, 0, 161  
c08816, 80, 162  
bf8715, 80, 163  
c28917, 80, 164  
040404, 0, 165  
1b1112, 0, 166  
1c1112, 0, 167  
1f1212, 0, 168  
1d1112, 0, 169  
1d1112, 0, 170  
ad3a17, 0, 171  
201112, 0, 172  
1f1113, 0, 173  
1f1112, 0, 174  
1e1112, 0, 175  
1f1112, 0, 176  
1f1112, 0, 177  
1e1112, 0, 178  
1f1112, 0, 179  
201112, 0, 180  
211112, 0, 181  
201112, 0, 182  
201112, 0, 183  
221112, 0, 184  
211112, 0, 185  
231212, 0, 186  
231212, 0, 187  
251112, 0, 188  
251212, 0, 189  
251212, 0, 190  
241212, 0, 191  
251212, 0, 192  
251112, 0, 193  
251112, 0, 194  
251212, 0, 195  
261112, 0, 196  
251112, 0, 197  
251112, 0, 198  
241112, 0, 199  
261112, 0, 200  
271112, 0, 201  
271112, 0, 202  
271213, 0, 203  
261212, 0, 204  
040404, 0, 205  
